full_epi_code,color,hex_value
S01E01,Alizarin Crimson,#4E1500
S01E01,Bright Red,#DB0000
S01E01,Cadmium Yellow,#FFEC00
S01E01,Phthalo Green,#102E3C
S01E01,Prussian Blue,#021E44
S01E01,Sap Green,#0A3410
S01E01,Titanium White,#FFFFFF
S01E01,Van Dyke Brown,#221B15
S01E02,Alizarin Crimson,#4E1500
S01E02,Bright Red,#DB0000
S01E02,Cadmium Yellow,#FFEC00
S01E02,Phthalo Green,#102E3C
S01E02,Prussian Blue,#021E44
S01E02,Sap Green,#0A3410
S01E02,Titanium White,#FFFFFF
S01E02,Van Dyke Brown,#221B15
S01E03,Alizarin Crimson,#4E1500
S01E03,Black Gesso,#000000
S01E03,Bright Red,#DB0000
S01E03,Cadmium Yellow,#FFEC00
S01E03,Phthalo Green,#102E3C
S01E03,Prussian Blue,#021E44
S01E03,Sap Green,#0A3410
S01E03,Titanium White,#FFFFFF
S01E03,Van Dyke Brown,#221B15
S01E04,Prussian Blue,#021E44
S01E04,Titanium White,#FFFFFF
S01E04,Van Dyke Brown,#221B15
S01E05,Alizarin Crimson,#4E1500
S01E05,Bright Red,#DB0000
S01E05,Cadmium Yellow,#FFEC00
S01E05,Phthalo Green,#102E3C
S01E05,Prussian Blue,#021E44
S01E05,Sap Green,#0A3410
S01E05,Titanium White,#FFFFFF
S01E05,Van Dyke Brown,#221B15
S01E06,Black Gesso,#000000
S01E06,Prussian Blue,#021E44
S01E06,Titanium White,#FFFFFF
S01E06,Van Dyke Brown,#221B15
S01E07,Alizarin Crimson,#4E1500
S01E07,Bright Red,#DB0000
S01E07,Cadmium Yellow,#FFEC00
S01E07,Phthalo Green,#102E3C
S01E07,Prussian Blue,#021E44
S01E07,Sap Green,#0A3410
S01E07,Titanium White,#FFFFFF
S01E07,Van Dyke Brown,#221B15
S01E08,Alizarin Crimson,#4E1500
S01E08,Bright Red,#DB0000
S01E08,Cadmium Yellow,#FFEC00
S01E08,Phthalo Green,#102E3C
S01E08,Prussian Blue,#021E44
S01E08,Sap Green,#0A3410
S01E08,Titanium White,#FFFFFF
S01E08,Van Dyke Brown,#221B15
S01E09,Alizarin Crimson,#4E1500
S01E09,Bright Red,#DB0000
S01E09,Cadmium Yellow,#FFEC00
S01E09,Phthalo Green,#102E3C
S01E09,Prussian Blue,#021E44
S01E09,Sap Green,#0A3410
S01E09,Titanium White,#FFFFFF
S01E09,Van Dyke Brown,#221B15
S01E10,Alizarin Crimson,#4E1500
S01E10,Bright Red,#DB0000
S01E10,Cadmium Yellow,#FFEC00
S01E10,Phthalo Green,#102E3C
S01E10,Prussian Blue,#021E44
S01E10,Sap Green,#0A3410
S01E10,Titanium White,#FFFFFF
S01E10,Van Dyke Brown,#221B15
S01E11,Alizarin Crimson,#4E1500
S01E11,Bright Red,#DB0000
S01E11,Cadmium Yellow,#FFEC00
S01E11,Phthalo Green,#102E3C
S01E11,Prussian Blue,#021E44
S01E11,Sap Green,#0A3410
S01E11,Titanium White,#FFFFFF
S01E11,Van Dyke Brown,#221B15
S01E12,Alizarin Crimson,#4E1500
S01E12,Prussian Blue,#021E44
S01E12,Titanium White,#FFFFFF
S01E12,Van Dyke Brown,#221B15
S01E13,Alizarin Crimson,#4E1500
S01E13,Bright Red,#DB0000
S01E13,Cadmium Yellow,#FFEC00
S01E13,Phthalo Green,#102E3C
S01E13,Prussian Blue,#021E44
S01E13,Sap Green,#0A3410
S01E13,Titanium White,#FFFFFF
S01E13,Van Dyke Brown,#221B15
S02E01,Alizarin Crimson,#4E1500
S02E01,Bright Red,#DB0000
S02E01,Burnt Umber,#8A3324
S02E01,Cadmium Yellow,#FFEC00
S02E01,Indian Yellow,#FFB800
S02E01,Phthalo Blue,#0C0040
S02E01,Phthalo Green,#102E3C
S02E01,Prussian Blue,#021E44
S02E01,Sap Green,#0A3410
S02E01,Titanium White,#FFFFFF
S02E01,Van Dyke Brown,#221B15
S02E01,Yellow Ochre,#C79B00
S02E02,Alizarin Crimson,#4E1500
S02E02,Bright Red,#DB0000
S02E02,Burnt Umber,#8A3324
S02E02,Cadmium Yellow,#FFEC00
S02E02,Indian Yellow,#FFB800
S02E02,Phthalo Blue,#0C0040
S02E02,Phthalo Green,#102E3C
S02E02,Prussian Blue,#021E44
S02E02,Sap Green,#0A3410
S02E02,Titanium White,#FFFFFF
S02E02,Van Dyke Brown,#221B15
S02E02,Yellow Ochre,#C79B00
S02E03,Alizarin Crimson,#4E1500
S02E03,Black Gesso,#000000
S02E03,Bright Red,#DB0000
S02E03,Burnt Umber,#8A3324
S02E03,Cadmium Yellow,#FFEC00
S02E03,Indian Yellow,#FFB800
S02E03,Phthalo Blue,#0C0040
S02E03,Phthalo Green,#102E3C
S02E03,Prussian Blue,#021E44
S02E03,Sap Green,#0A3410
S02E03,Titanium White,#FFFFFF
S02E03,Van Dyke Brown,#221B15
S02E03,Yellow Ochre,#C79B00
S02E04,Prussian Blue,#021E44
S02E04,Titanium White,#FFFFFF
S02E04,Van Dyke Brown,#221B15
S02E05,Alizarin Crimson,#4E1500
S02E05,Bright Red,#DB0000
S02E05,Burnt Umber,#8A3324
S02E05,Cadmium Yellow,#FFEC00
S02E05,Phthalo Blue,#0C0040
S02E05,Phthalo Green,#102E3C
S02E05,Prussian Blue,#021E44
S02E05,Sap Green,#0A3410
S02E05,Titanium White,#FFFFFF
S02E05,Van Dyke Brown,#221B15
S02E05,Yellow Ochre,#C79B00
S02E06,Alizarin Crimson,#4E1500
S02E06,Bright Red,#DB0000
S02E06,Burnt Umber,#8A3324
S02E06,Cadmium Yellow,#FFEC00
S02E06,Phthalo Blue,#0C0040
S02E06,Phthalo Green,#102E3C
S02E06,Prussian Blue,#021E44
S02E06,Sap Green,#0A3410
S02E06,Titanium White,#FFFFFF
S02E06,Van Dyke Brown,#221B15
S02E06,Yellow Ochre,#C79B00
S02E07,Alizarin Crimson,#4E1500
S02E07,Bright Red,#DB0000
S02E07,Burnt Umber,#8A3324
S02E07,Cadmium Yellow,#FFEC00
S02E07,Phthalo Blue,#0C0040
S02E07,Phthalo Green,#102E3C
S02E07,Prussian Blue,#021E44
S02E07,Sap Green,#0A3410
S02E07,Titanium White,#FFFFFF
S02E07,Van Dyke Brown,#221B15
S02E07,Yellow Ochre,#C79B00
