"id","title","air_date","month","year","full_epi_code"
1,"A Walk in the Woods","1983-01-11",1,1983,"S01E01"
2,"Mount McKinley","1983-01-11",1,1983,"S01E02"
3,"Ebony Sunset","1983-01-18",1,1983,"S01E03"
4,"Winter Mist","1983-01-25",1,1983,"S01E04"
5,"Quiet Stream","1983-02-01",2,1983,"S01E05"
6,"Winter Moon","1983-02-08",2,1983,"S01E06"
7,"Autumn Mountains","1983-02-15",2,1983,"S01E07"
8,"Peaceful Valley","1983-02-22",2,1983,"S01E08"
9,"Seascape","1983-03-01",3,1983,"S01E09"
10,"Mountain Lake","1983-03-08",3,1983,"S01E10"
11,"Winter Glow","1983-03-15",3,1983,"S01E11"
12,"Snowfall","1983-03-22",3,1983,"S01E12"
13,"Final Reflections","1983-03-29",3,1983,"S01E13"
14,"Meadow Lake","1983-08-31",8,1983,"S02E01"
15,"Winter Sun","1983-09-07",9,1983,"S02E02"
16,"Ebony Sea","1983-09-14",9,1983,"S02E03"
17,"Shades of Gray","1983-09-21",9,1983,"S02E04"
18,"Autumn Splendor","1983-09-28",9,1983,"S02E05"
19,"Black River","1983-10-05",10,1983,"S02E06"
20,"Brown Mountain","1983-10-12",10,1983,"S02E07"
21,"Reflections","1983-10-19",10,1983,"S02E08"
22,"Black & White Seascape","1983-10-26",10,1983,"S02E09"
23,"Lazy River","1983-11-02",11,1983,"S02E10"
24,"Black Waterfall","1983-11-09",11,1983,"S02E11"
25,"Mountain Waterfall","1983-11-16",11,1983,"S02E12"
26,"Final Grace","1983-11-23",11,1983,"S02E13"
27,"Mountain Retreat","1984-01-04",1,1984,"S03E01"
28,"Blue Moon","1984-01-11",1,1984,"S03E02"
29,"Bubbling Stream","1984-01-18",1,1984,"S03E03"
30,"Winter Night","1984-01-25",1,1984,"S03E04"
31,"Distant Hills","1984-02-01",2,1984,"S03E05"
32,"Covered Bridge","1984-02-08",2,1984,"S03E06"
33,"Quiet Inlet","1984-02-15",2,1984,"S03E07"
34,"Night Light","1984-02-22",2,1984,"S03E08"
35,"The Old Mill","1984-03-01",3,1984,"S03E09"
36,"Campfire","1984-03-08",3,1984,"S03E10"
37,"Rustic Barn","1984-03-15",3,1984,"S03E11"
38,"Hidden Lake","1984-03-22",3,1984,"S03E12"
39,"Peaceful Waters","1984-03-29",3,1984,"S03E13"
40,"Purple Splendor","1984-09-05",9,1984,"S04E01"
41,"Tranquil Valley","1984-09-12",9,1984,"S04E02"
42,"Majestic Mountains","1984-09-19",9,1984,"S04E03"
43,"Winter Sawscape","1984-09-26",9,1984,"S04E04"
44,"Evening Seascape","1984-10-03",10,1984,"S04E05"
45,"Warm Summer Day","1984-10-10",10,1984,"S04E06"
46,"Cabin in the Woods","1984-10-17",10,1984,"S04E07"
47,"Wetlands","1984-10-24",10,1984,"S04E08"
48,"Cool Waters","1984-10-31",10,1984,"S04E09"
